word,sopmi
好,0.37775252525252534
实在,0.3002525252525253
喜欢,0.271474358974359
好吃懒做,0.22488782051282047
精,0.19968253968253963
快乐,0.19195512820512817
愉快,0.19070512820512817
好好,0.18525252525252522
坏,0.17958152958152962
爽快,0.17173076923076924
开心,0.16728407557354924
高兴,0.16482232164120703
苦,0.16388888888888897
特,0.16388888888888892
偏,0.16388888888888886
口淡,0.16259176788124152
口重,0.16259176788124152
巨大,0.16215728715728717
佳,0.16136363636363638
迷恋,0.1606570512820512
棒,0.16000000000000003
够味儿,0.16000000000000003
物美价廉,0.16000000000000003
地道,0.16000000000000003
俱佳,0.16000000000000003
良好,0.16000000000000003
聪明,0.15999999999999992
鬼,0.15999999999999992
干脆,0.15999999999999992
机灵,0.15999999999999992
精明,0.15999999999999992
智能,0.15999999999999992
强,0.15888888888888886
助人为乐,0.15738782051282052
爱,0.15608974358974356
嘉,0.15521531100478475
饶,0.15473350126575935
中,0.15303030303030307
热心,0.150448717948718
硬,0.15025252525252525
稍后,0.15000000000000008
快要,0.15000000000000008
明,0.14999999999999997
锋利,0.1499999999999999
更好,0.14270454545454547
爽,0.1426686217008798
超过,0.1397368180988871
可,0.1386363636363637
特别,0.1386363636363636
如此,0.1386363636363636
离谱,0.1386363636363636
准,0.13790903540903549
放心,0.13639957264957256
不愧,0.13639957264957256
好意思,0.13639957264957256
无耻,0.13639957264957256
理直气壮,0.13639957264957256
不要脸,0.13639957264957256
欣慰,0.13639957264957256
直,0.13484848484848488
很快,0.13308333333333341
很,0.13214285714285717
格外,0.13214285714285717
太,0.13214285714285717
再,0.13214285714285717
很多,0.13214285714285717
更,0.13214285714285717
越来越,0.13214285714285717
尤其,0.13214285714285717
还要,0.13214285714285717
端的,0.13214285714285717
不少,0.13214285714285717
较,0.13214285714285717
多加,0.13214285714285717
太过分,0.13214285714285717
过火,0.13214285714285717
超乎,0.13214285714285717
额外,0.13214285714285717
过头,0.13214285714285717
多多,0.13214285714285717
过分,0.13214285714285717
过于,0.13214285714285717
着实,0.13214285714285717
大大,0.13214285714285717
无限,0.13214285714285717
甚,0.13214285714285717
老大,0.13214285714285717
超,0.1320689655172414
以上,0.1292196969696971
以下,0.1292196969696971
比较,0.12882059800664453
讲究,0.12753324165315755
回头,0.12686590436590428
不善,0.1255547230547231
没多久,0.12500000000000008
脆,0.125
老,0.12499999999999996
远,0.12499999999999996
尖,0.12499999999999996
顺口,0.12222222222222227
大量,0.12222222222222222
香,0.12083333333333342
香甜,0.1208333333333334
心疼,0.12049763832658564
越,0.11972049689440994
知足,0.11849893162393166
不在乎,0.1184989316239316
不理,0.1184989316239316
顾不上,0.1184989316239316
不问,0.1184989316239316
注意,0.11845085470085467
想念,0.11845085470085467
说好,0.11845085470085467
关注,0.11845085470085467
在乎,0.11845085470085467
高度评价,0.11845085470085467
默认,0.11845085470085467
在意,0.11845085470085467
同意,0.11845085470085467
理会,0.11845085470085467
烧高香,0.11845085470085467
尊重,0.11845085470085467
关心,0.11845085470085467
拜服,0.11845085470085467
佩服,0.11845085470085467
重视,0.11845085470085467
怀念,0.11845085470085467
应承,0.11845085470085467
哈,0.11711538461538455
恨,0.11692890442890441
重,0.11558080808080812
宠,0.11429996055632727
还,0.1142857142857143
精细,0.11382395382395387
马马虎虎,0.11382395382395387
严谨,0.11382395382395387
赖,0.11195429570429569
钟爱,0.11157513162182095
疼,0.1115751316218209
舒服,0.11047720797720804
不快,0.10910576923076928
清淡,0.10833333333333335
可口,0.10833333333333334
合口味,0.10833333333333334
下饭,0.10833333333333334
鲜美,0.10833333333333334
美味可口,0.10833333333333334
丰满,0.10833333333333334
爽口,0.10833333333333334
想起,0.108034188034188
对,0.10789510006901318
乐,0.1058433233433233
口轻,0.10526804993252364
有味,0.10458333333333333
美味,0.10402564102564103
正面,0.10382395382395375
小心,0.10250000000000002
增,0.10161324786324785
集中,0.10127149877149873
闹心,0.10104603729603731
惊喜,0.1010460372960372
怕,0.1010460372960372
失望,0.1010460372960372
后悔,0.1010460372960372
不好意思,0.1010460372960372
担心,0.1010460372960372
郁闷,0.1010460372960372
遗憾,0.1010460372960372
尴尬,0.1010460372960372
伤心,0.1010460372960372
生气,0.1010460372960372
难受,0.1010460372960372
愧疚,0.1010460372960372
发脾气,0.1010460372960372
忿忿,0.1010460372960372
心酸,0.1010460372960372
酸楚,0.1010460372960372
气急败坏,0.1010460372960372
发飙,0.1010460372960372
惊,0.1010460372960372
心烦,0.1010460372960372
抓狂,0.1010460372960372
抑郁,0.1010460372960372
顾虑,0.1010460372960372
大跌眼镜,0.1010460372960372
糟心,0.1010460372960372
气愤,0.1010460372960372
绝望,0.1010460372960372
恼怒,0.1010460372960372
害怕,0.1010460372960372
烦躁,0.1010460372960372
恼火,0.1010460372960372
恐惧,0.0997960372960372
忧伤,0.0997960372960372
愤怒,0.0997960372960372
想,0.09927398448944272
正经,0.09895382395382393
肯定,0.0982264957264957
烦,0.09795454545454554
发热,0.09714452214452216
满,0.09617521367521374
怪,0.09514568764568758
正确,0.0950649350649351
不满,0.09498834498834485
感谢,0.09377980206927573
答应,0.09377980206927573
赌气,0.09375145687645692
不怕,0.09375145687645692
窝火,0.09375145687645692
吃腻,0.09375145687645686
怪不得,0.09375145687645686
痛心疾首,0.09375145687645686
抱歉,0.09370337995337993
埋怨,0.09370337995337993
不信,0.09370337995337993
惋惜,0.09370337995337993
鄙视,0.09370337995337993
无视,0.09370337995337993
原谅,0.09370337995337993
体谅,0.09370337995337993
责怪,0.09370337995337993
忽视,0.09370337995337993
不顾,0.09370337995337993
傻眼,0.09370337995337993
得饶人处且饶人,0.09370337995337993
同情,0.09370337995337993
轻蔑,0.09370337995337993
忽略,0.09370337995337993
嫌弃,0.09370337995337993
不容,0.09370337995337993
较差,0.09270454545454548
怀疑,0.09245337995337993
嫌,0.09245337995337993
内疚,0.09245337995337993
反感,0.09245337995337993
厚,0.09243753322700703
最爱,0.09236464587101256
糟,0.09160173160173167
认,0.09131804813693355
美,0.09069444444444438
神速,0.0905833333333334
飙升,0.09037927350427352
宏,0.08993506493506497
漂亮,0.08993506493506491
细腻,0.08993506493506491
粗糙,0.08993506493506491
涨价,0.08924719803257539
提价,0.08924719803257539
难过,0.08911468907436654
惨痛,0.08911468907436654
晕头转向,0.08857142857142862
迷迷糊糊,0.08857142857142862
可以,0.08857142857142856
完美,0.08857142857142856
天真,0.08857142857142856
还好,0.08857142857142856
可爱,0.08857142857142856
一流,0.08857142857142856
精致,0.08857142857142856
最好,0.08857142857142856
精美,0.08857142857142856
直接,0.08857142857142856
筋道,0.08857142857142856
极好,0.08857142857142856
差不多,0.08857142857142856
到家,0.08857142857142856
完美无瑕,0.08857142857142856
做得好,0.08857142857142856
结实,0.08857142857142856
上品,0.08857142857142856
高超,0.08857142857142856
差劲,0.08857142857142856
糟糕,0.08857142857142856
有毒,0.08857142857142856
差强人意,0.08857142857142856
一等,0.08857142857142856
偷工减料,0.08857142857142856
劣质,0.08857142857142856
没说的,0.08857142857142856
牢固,0.08857142857142856
理想,0.08857142857142856
说得过去,0.08857142857142856
懵,0.08857142857142856
简陋,0.08857142857142856
玲珑,0.08857142857142856
糠,0.08857142857142856
过得去,0.08857142857142856
好多,0.08808333333333332
太多,0.08808333333333332
许多,0.08808333333333332
飞速,0.08808333333333329
飞快,0.08808333333333329
偏重,0.08754767166758745
吃醋,0.08754767166758745
凑合,0.08734292734292733
安慰,0.08729242979242971
抖,0.08729242979242971
抓,0.08720085470085467
感,0.08702847805788982
大失所望,0.0863569328275211
感到,0.08615342718283887
原,0.085530303030303
满意,0.08449167791273046
满足,0.08449167791273046
有意思,0.08419810452705187
发现,0.08392322599880732
火,0.08369204869204859
定,0.083541181041181
迅速,0.08333333333333343
快速,0.08333333333333343
特快,0.08333333333333343
速,0.08333333333333343
紧密,0.08333333333333343
快当,0.08333333333333343
迅捷,0.08333333333333343
大部分,0.08333333333333331
