pos,val
喜欢,0.27286324786324795
实在,0.22609427609427601
好好,0.20371332371332357
爱,0.19594017094017102
愉快,0.19321064240419072
硬,0.1737133237133237
棒,0.17004329004329005
中,0.15873015873015878
舒服,0.15775403608736943
抱歉,0.15309926184926187
可怜,0.14153326064616387
重,0.14001683501683504
更好,0.13949999999999999
按时,0.1392592592592592
小心,0.137962962962963
苦,0.13518518518518524
特,0.13518518518518519
注意,0.13381054131054126
说好,0.13381054131054126
超过,0.13220549778021048
怀疑,0.13129370629370624
为了,0.1296274564010413
而,0.1296274564010413
对,0.12618932597193455
不满,0.12474133393488238
想,0.1213958527159621
不敢恭维,0.1212954064572892
他妈的,0.1212954064572892
成,0.12060008956560679
没什么,0.12049326741985611
请问,0.1200753107635093
厚,0.11850332902964482
肯定,0.11827894327894323
不,0.11746083432083029
可惜,0.11662529137529137
怕,0.11424436674436672
感谢,0.1139443694706852
开心,0.11378156930788513
疼,0.11341787590514249
是,0.11151515151515157
超,0.10669677066228793
好意思,0.10589031339031335
优惠,0.10558922558922557
较,0.10341269841269844
特别,0.10151515151515163
可,0.10151515151515152
抓,0.10027879527879524
能,0.10005957005957011
贴心,0.09333333333333348
定,0.09322805734570438
意思,0.09294804978463153
"
"
neg,val
结果,-0.15815147161267856
搞,-0.11643476507360352
丢,-0.11517219664278489
弄,-0.11450494051220007
催,-0.11142392921462685
加油,-0.10939142831684934
打开,-0.10912507863991419
不像,-0.1083127417772595
影响,-0.10810230406682184
撒,-0.0972825150732127
逼,-0.0972825150732127
告诉,-0.0972825150732127
好评,-0.09543677136476325
说,-0.09478354978354978
事,-0.09391756272401437
烫,-0.09369191919191913
开,-0.09081871345029234
便宜,-0.090170080150032
蘑菇,-0.08997983108308424
烤,-0.08852744592565841
打死,-0.08762481962481963
干,-0.08609908609908605
服务,-0.0848850574712644
打,-0.08462930815294098
欠,-0.08457912457912457
放,-0.08074006572001757
关机,-0.07506029285099047
去,-0.07463351657504584
收到,-0.07445420592479415
划算,-0.07395126991578765
晚,-0.07333333333333329
工作,-0.07299616858237551
黄,-0.07177248677248682
拉,-0.07173866770318543
加强,-0.07102984054467609
取消,-0.07102984054467609
扔掉,-0.07102984054467609
做成,-0.07102984054467609
烂,-0.07090909090909085
打包,-0.06984951556380126
改善,-0.06984951556380126
加热,-0.06984951556380126
撑,-0.06984951556380126
吃饭,-0.06984951556380126
做好,-0.06984951556380126
改进,-0.06984951556380126
耽误,-0.06984951556380126
打通,-0.06984951556380126
煎,-0.06984951556380126
吐槽,-0.06984951556380126
处理,-0.06909943847063521
